Census 2000 PHC-T-33.  Earnings Distribution of U.S.Year-Round Full-Time Workers by Occupation and Sex: 2013,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in the Past 12 Months by Sex and Detailed Occupation1: 20132",,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)",,,,
"Source: U.S. Census Bureau, 2013 American Community Survey (modified to conform to 1999 SOC codes) Internet release date: 03/16/2015",,,,
"(Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/prod/cen2000/docs/sf3.pdf.)",,,,
Occupation,SOC Codes,Number of YRFT workers,Female,Male
"...Other installation, maintenance, and repair workers, including wind turbine service technicians",49-9093 & 49-9099,"168,658","159,562","9,096"
...First-line supervisors of production and operating workers,51-1011,"802,370","656,622","145,748"
"...Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,"5,202","3,823","1,379"
"...Electrical, electronics, and electromechanical assemblers",51-2020,"116,834","61,800","55,034"
...Engine and other machine assemblers,51-2031,"10,950","9,903","1,047"
...Structural metal fabricators and fitters,51-2041,"20,509","19,856",653
...Miscellaneous assemblers and fabricators,51-2090,"766,770","484,475","282,295"
...Bakers,51-3011,"131,066","67,099","63,967"
"...Butchers and other meat, poultry, and fish processing workers",51-3020,"203,134","154,517","48,617"
"...Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,"7,085","5,409","1,676"
...Food batchmakers,51-3092,"56,485","28,317","28,168"
...Food cooking machine operators and tenders,51-3093,"5,670","3,950","1,720"
"...Food processing workers, all other",51-4010,"95,533","65,550","29,983"
...Computer control programmers and operators,51-4021,"72,368","67,129","5,239"
"...Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4022,"10,880","8,824","2,056"
"...Forging machine setters, operators, and tenders, metal and plastic",51-4023,"6,847","6,616",231
"...Rolling machine setters, operators, and tenders, metal and plastic",51-4031,"9,439","6,791","2,648"
"...Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4032,"75,234","61,087","14,147"
"...Drilling and boring machine tool setters, operators, and tenders, metal and plastic ",51-4033,"4,002","3,031",971
"...Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4034,"38,305","33,030","5,275"
"...Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4035,"8,530","7,524","1,006"
"...Milling and planing machine setters, operators, and tenders, metal and plastic",51-4041,"2,780","2,531",249
...Machinists,51-4042,"330,090","316,382","13,708"
"...Metal furnace operators, tenders, pourers, and casters",51-4050,"18,709","17,712",997
"...Model makers and patternmakers, metal and plastic",51-4060,"6,061","4,886","1,175"
"...Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,"35,447","29,875","5,572"
"...Multiple machine tool setters, operators, and tenders, metal and plastic ",51-4081,"2,437","1,767",670
...Tool and die makers,51-4111,"51,409","50,058","1,351"
"...Welding, soldering, and brazing workers",51-4120,"488,957","464,041","24,916"
"...Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,"6,459","5,874",585
"...Layout workers, metal and plastic",51-4192,"6,077","5,911",166
"...Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,"13,378","12,355","1,023"
"...Tool grinders, filers, and sharpeners",51-4194,"4,643","4,375",268
"...Metal workers and plastic workers, all other",51-4199,"317,561","249,208","68,353"
...Prepress technicians and workers,51-5022,"23,527","12,712","10,815"
"...Printing workers, except prepress technicians and workers",51-5023,"169,498","135,466","34,032"
...Laundry and dry-cleaning workers,51-6011,"111,926","47,034","64,892"
"...Pressers, textile, garment, and related materials",51-6021,"25,595","10,309","15,286"
...Sewing machine operators,51-6031,"134,443","36,754","97,689"
...Shoe and leather workers and repairers,51-6041,"6,508","5,326","1,182"
...Shoe machine operators and tenders,51-6042,"4,373","2,209","2,164"
"...Tailors, dressmakers, and sewers",51-6050,"42,018","12,251","29,767"
...Textile bleaching and dyeing machine operators and tenders,51-6061,"1,989","1,587",402
"...Textile cutting machine setters, operators, and tenders",51-6062,"4,006","2,842","1,164"
"...Textile knitting and weaving machine setters, operators, and tenders",51-6063,"6,615","2,746","3,869"
"...Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,"9,594","4,129","5,465"
...Fabric and apparel patternmakers,51-6091,"2,639",296,"2,343"
...Upholsterers,51-6092,"24,713","20,708","4,005"
"...Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6099,"10,790","6,417","4,373"
...Cabinetmakers and bench carpenters,51-7011,"38,783","37,474","1,309"
...Furniture finishers,51-7021,"7,639","6,161","1,478"
"...Sawing machine setters, operators, and tenders, wood",51-7041,"22,242","20,877","1,365"
"...Woodworking machine setters, operators, and tenders, except sawing",51-7042,"20,413","16,259","4,154"
"...Miscellaneous woodworkers, including model makers and patternmakers",51-7099,"17,735","16,619","1,116"
"...Power plant operators, distributors, and dispatchers",51-8010,"44,028","41,680","2,348"
...Stationary engineers and boiler operators,51-8021,"81,858","79,736","2,122"
...Water and wastewater treatment plant and system operators,51-8031,"80,472","77,340","3,132"
...Miscellaneous plant and system operators,51-8090,"37,086","34,414","2,672"
"...Chemical processing machine setters, operators, and tenders",51-9010,"49,659","44,589","5,070"
"...Crushing, grinding, polishing, mixing, and blending workers",51-9020,"70,478","63,515","6,963"
...Cutting workers,51-9030,"49,849","40,036","9,813"
"...Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,"21,803","17,029","4,774"
"...Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,"11,333","9,713","1,620"
"...Inspectors, testers, sorters, samplers, and weighers",51-9061,"623,203","397,579","225,624"
...Jewelers and precious stone and metal workers,51-9071,"26,929","18,880","8,049"
"...Medical, dental, and ophthalmic laboratory technicians",51-9080,"64,031","34,102","29,929"
...Packaging and filling machine operators and tenders,51-9111,"198,721","92,772","105,949"
...Painting workers,51-9120,"101,860","91,461","10,399"
...Photographic process workers and processing machine operators,51-9130,"25,840","14,124","11,716"
...Semiconductor processors,51-9141,"1,988","1,233",755
"...Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,"6,098","5,077","1,021"
...Cooling and freezing equipment operators and tenders,51-9193,"2,208","2,062",146
...Etchers and engravers,51-9194,"6,620","5,150","1,470"
"...Molders, shapers, and casters, except metal and plastic",51-9195,"23,056","20,401","2,655"
"...Paper goods machine setters, operators, and tenders",51-9196,"26,459","21,034","5,425"
...Tire builders,51-9197,"14,330","13,161","1,169"
...Helpers--production workers,51-9198,"25,685","21,637","4,048"
"...Production workers, all other",51-9199,"881,828","653,314","228,514"
...Supervisors of transportation and material moving workers,53-1000,"185,456","156,031","29,425"
...Aircraft pilots and flight engineers,53-2010,"88,969","85,054","3,915"
...Air traffic controllers and airfield operations specialists,53-2020,"33,382","27,511","5,871"
"...Ambulance drivers and attendants, except emergency medical technicians",53-3011,"9,147","6,961","2,186"
...Bus drivers,53-3020,"275,991","174,830","101,161"
...Driver/sales workers and truck drivers,53-3030,"2,472,147","2,365,886","106,261"
...Taxi drivers and chauffeurs,53-3041,"196,209","175,350","20,859"
"...Motor vehicle operators, all other",53-3099,"16,506","14,232","2,274"
...Locomotive engineers and operators,53-4010,"43,391","41,408","1,983"
"...Railroad brake, signal, and switch operators",53-4021,"4,454","4,395",59
...Railroad conductors and yardmasters,53-4031,"43,061","40,176","2,885"
"...Subway, streetcar, and other rail transportation workers",53-4041 & 53-4099,"9,669","8,566","1,103"
...Sailors and marine oilers,53-5011,"12,690","12,153",537
...Ship and boat captains and operators,53-5020,"26,328","25,849",479
...Ship engineers,53-5031,"4,145","3,894",251
...Bridge and lock tenders,53-6011,"3,240","2,712",528
...Parking lot attendants,53-6021,"38,720","35,027","3,693"
...Automotive and watercraft service attendants   ,53-6031,"67,748","55,406","12,342"
...Transportation inspectors,53-6051,"35,783","30,980","4,803"
"...Transportation attendants, except flight attendants",53-6041 & 53-6099,"11,113","5,383","5,730"
...Conveyor operators and tenders,53-7011,"4,831","4,225",606
...Crane and tower operators,53-7021,"52,665","50,867","1,798"
"...Dredge, excavating, and loading machine operators",53-7030,"26,394","26,074",320
...Hoist and winch operators,53-7041,"6,973","6,060",913
...Industrial truck and tractor operators,53-7051,"428,059","399,291","28,768"
...Cleaners of vehicles and equipment,53-7061,"197,864","171,164","26,700"
"...Laborers and freight, stock, and material movers, hand",53-7062,"1,211,599","1,009,313","202,286"
...Machine feeders and offbearers,53-7063,"21,230","14,507","6,723"
"...Packers and packagers, hand",53-7064,"273,503","123,631","149,872"
...Pumping station operators,53-7070,"25,133","23,425","1,708"
...Refuse and recyclable material collectors,53-7081,"73,441","67,859","5,582"
...Mine shuttle car operators,53-7111,847,847,0
"...Tank car, truck, and ship loaders",53-7121,"4,741","4,635",106
"...Material moving workers, all other",53-7199,"33,196","29,364","3,832"
,,,,
,,,,
,,,,
,,,,
